train/success_rate,test/success_rate,stats_o/std,train/episode,stats_o/mean,epoch,test/mean_Q,test/episode,stats_g/std,stats_g/mean
0.0,0.0,0.76692,100.0,0.19371304,0,-2.9488983,20.0,0.23781046,0.37635773
0.0,0.0,0.7560538,200.0,0.19621985,1,-5.1928773,40.0,0.23729452,0.37730843
0.0,0.0,0.74965775,300.0,0.19619963,2,-7.176645,60.0,0.23709324,0.37881693
0.0,0.0,0.74795073,400.0,0.19573884,3,-9.483171,80.0,0.23671183,0.3789007
0.0,0.0,0.746691,500.0,0.19586651,4,-11.29734,100.0,0.23666124,0.3794527
0.0,0.0,0.74741286,600.0,0.19568905,5,-13.362394,120.0,0.23677234,0.37886256
0.0,0.005,0.74868417,700.0,0.1955119,6,-15.09099,140.0,0.23749344,0.37882382
0.0,0.0,0.75102365,800.0,0.19523332,7,-16.578762,160.0,0.2385108,0.37849492
0.0,0.005,0.75475895,900.0,0.19468682,8,-18.29656,180.0,0.23926249,0.3781777
0.0,0.005,0.7593094,1000.0,0.19415551,9,-19.290257,200.0,0.2400208,0.3777554
0.0,0.005,0.7640648,1100.0,0.19405335,10,-20.252151,220.0,0.24011035,0.377992
0.003,0.005,0.7696929,1200.0,0.19408664,11,-22.47637,240.0,0.24021444,0.37839922
0.001,0.015000000000000003,0.7759422,1300.0,0.19391254,12,-23.134773,260.0,0.24067347,0.37799302
0.004,0.005,0.78328574,1400.0,0.19377808,13,-24.084566,280.0,0.24127416,0.37781897
0.004,0.005,0.79037356,1500.0,0.19384739,14,-24.169312,300.0,0.24152462,0.37756926
0.004,0.02,0.79765403,1600.0,0.19393066,15,-22.372776,320.0,0.24166818,0.3774498
0.006,0.015000000000000003,0.8047699,1700.0,0.19346231,16,-25.431284,340.0,0.24197543,0.37709504
0.008,0.01,0.81203115,1800.0,0.19320686,17,-27.06747,360.0,0.24203368,0.37717158
0.007000000000000001,0.01,0.8192833,1900.0,0.19307742,18,-25.134083,380.0,0.2420981,0.37706318
0.006,0.005,0.82662755,2000.0,0.1928952,19,-27.537958,400.0,0.24184136,0.37725145
0.004,0.03,0.83314973,2100.0,0.19258499,20,-26.792871,420.0,0.24178085,0.3776955
0.007000000000000001,0.02,0.8396581,2200.0,0.19260278,21,-25.525745,440.0,0.24176554,0.37759095
0.01,0.025,0.8457491,2300.0,0.19273975,22,-26.147427,460.0,0.24170132,0.37758785
0.007000000000000001,0.015000000000000003,0.8520628,2400.0,0.19273989,23,-27.55272,480.0,0.2416492,0.37776774
0.01,0.015000000000000003,0.85822517,2500.0,0.19279096,24,-27.201422,500.0,0.24140804,0.37791103
0.008,0.034999999999999996,0.86424005,2600.0,0.19270733,25,-25.006935,520.0,0.24122484,0.3778121
0.008,0.025,0.86990535,2700.0,0.19275203,26,-27.944946,540.0,0.24111247,0.3777581
0.009,0.025,0.8752201,2800.0,0.19286114,27,-27.204763,560.0,0.24099202,0.37748694
0.011,0.034999999999999996,0.87996846,2900.0,0.19296402,28,-22.49142,580.0,0.24076521,0.37746006
0.01,0.025,0.8844778,3000.0,0.1929752,29,-27.620447,600.0,0.24047443,0.37757388
0.013000000000000001,0.034999999999999996,0.8886024,3100.0,0.19298443,30,-25.699072,620.0,0.24043553,0.37741953
0.011000000000000001,0.04,0.89292383,3200.0,0.19293007,31,-26.00529,640.0,0.24038184,0.37728053
0.013000000000000001,0.02,0.897261,3300.0,0.19284967,32,-27.47732,660.0,0.24024609,0.3772162
0.012,0.015000000000000003,0.90156335,3400.0,0.19288498,33,-25.591099,680.0,0.24007073,0.37708902
0.006,0.025,0.9056547,3500.0,0.1928341,34,-25.596317,700.0,0.239961,0.37694246
0.015,0.015000000000000003,0.90961665,3600.0,0.19271371,35,-24.938038,720.0,0.23982868,0.37696108
0.008,0.015000000000000003,0.9133481,3700.0,0.19274849,36,-24.175867,740.0,0.23974316,0.3771822
0.011000000000000001,0.035,0.9168293,3800.0,0.19284958,37,-23.196901,760.0,0.23963651,0.377214
0.014000000000000002,0.06999999999999999,0.92036474,3900.0,0.19281611,38,-22.859325,780.0,0.23956676,0.37721974
0.009,0.025,0.92356616,4000.0,0.19271286,39,-23.47454,800.0,0.23939648,0.37705916
0.013000000000000001,0.02,0.9266165,4100.0,0.19263776,40,-23.887436,820.0,0.23930678,0.37696534
0.015,0.05500000000000001,0.92949885,4200.0,0.19262356,41,-19.93577,840.0,0.2391853,0.377038
0.011000000000000001,0.04,0.9320754,4300.0,0.19255453,42,-20.440496,860.0,0.23907423,0.37697577
0.014000000000000002,0.04,0.9345291,4400.0,0.19244853,43,-24.094257,880.0,0.23902264,0.37688142
0.007000000000000001,0.07,0.93690646,4500.0,0.19234836,44,-21.864815,900.0,0.23891456,0.37685686
0.009,0.04,0.939212,4600.0,0.19233091,45,-19.907064,920.0,0.23878188,0.37677303
0.01,0.04,0.9415728,4700.0,0.19230542,46,-22.494114,940.0,0.23867139,0.37682423
0.012,0.030000000000000006,0.9438709,4800.0,0.19219717,47,-22.040932,960.0,0.23860641,0.37687278
0.008,0.035,0.9460675,4900.0,0.19203931,48,-23.186527,980.0,0.23861234,0.3768354
0.016,0.04,0.9480928,5000.0,0.19199316,49,-21.371933,1000.0,0.2384768,0.3770145
