test/success_rate,stats_g/mean,test/mean_Q,test/episode,stats_o/mean,epoch,stats_g/std,train/success_rate,train/episode,stats_o/std
0.005,0.33348012,-3.049549,20.0,0.19603527,0,0.1581754,0.002,100.0,0.7335037
0.01,0.33659992,-5.031941,40.0,0.1968154,1,0.15751505,0.0,200.0,0.72140384
0.005,0.33825478,-7.08586,60.0,0.1969324,2,0.15770933,0.001,300.0,0.714978
0.005,0.33877236,-9.10371,80.0,0.19661036,3,0.15768245,0.004,400.0,0.7129972
0.005,0.339108,-11.2267685,100.0,0.1965966,4,0.15761034,0.003,500.0,0.711561
0.015000000000000003,0.3390339,-13.082059,120.0,0.19637555,5,0.15803416,0.003,600.0,0.71200204
0.005,0.33909923,-14.995084,140.0,0.19608764,6,0.15794095,0.003,700.0,0.7128108
0.01,0.33884186,-16.653368,160.0,0.19600177,7,0.15835485,0.0,800.0,0.714332
0.01,0.33882827,-18.273228,180.0,0.1961145,8,0.15846427,0.004,900.0,0.71676046
0.01,0.33927554,-19.02425,200.0,0.19666615,9,0.1587265,0.004,1000.0,0.7198617
0.01,0.33942676,-20.220434,220.0,0.19739401,10,0.15935019,0.005,1100.0,0.7247155
0.035,0.34006682,-21.082785,240.0,0.19776449,11,0.16059594,0.006,1200.0,0.73059684
0.02,0.34069785,-21.828875,260.0,0.19765726,12,0.16196203,0.004,1300.0,0.73749894
0.01,0.34141627,-23.652645,280.0,0.19765373,13,0.163618,0.008,1400.0,0.7440578
0.015000000000000003,0.34218922,-23.77268,300.0,0.1977619,14,0.16514668,0.004,1500.0,0.7510992
0.085,0.34253392,-23.081348,320.0,0.19747731,15,0.16628352,0.005,1600.0,0.75697887
0.08,0.34291983,-24.049814,340.0,0.19750634,16,0.16757862,0.003,1700.0,0.7627489
0.075,0.3435367,-25.424137,360.0,0.19744816,17,0.16893533,0.009,1800.0,0.7684461
0.030000000000000006,0.34440237,-27.819983,380.0,0.19751292,18,0.16998246,0.002,1900.0,0.7733375
0.12,0.34505415,-25.368921,400.0,0.19766322,19,0.17121562,0.007000000000000001,2000.0,0.77760756
0.05,0.34546858,-26.16833,420.0,0.19783953,20,0.17228732,0.006,2100.0,0.7814887
0.02,0.34605232,-27.388199,440.0,0.19804952,21,0.17342333,0.011,2200.0,0.7857701
0.05500000000000001,0.34659737,-29.799007,460.0,0.19831339,22,0.17441945,0.013000000000000001,2300.0,0.7902409
0.06499999999999999,0.3470258,-26.1628,480.0,0.19856831,23,0.17525855,0.014000000000000002,2400.0,0.7935904
0.06500000000000002,0.3475992,-27.200546,500.0,0.19884117,24,0.17617364,0.011000000000000001,2500.0,0.79732764
0.045000000000000005,0.34811226,-29.825775,520.0,0.198912,25,0.17699894,0.01,2600.0,0.8009834
0.10500000000000001,0.34844846,-29.010273,540.0,0.19904092,26,0.1779749,0.012,2700.0,0.80389893
0.1,0.34869775,-28.292439,560.0,0.19923022,27,0.17882052,0.009,2800.0,0.80678356
0.12000000000000002,0.349114,-29.744125,580.0,0.19933419,28,0.17954962,0.013000000000000001,2900.0,0.81030303
0.13999999999999999,0.34933716,-30.227972,600.0,0.19932353,29,0.18021329,0.011000000000000001,3000.0,0.8134494
0.145,0.3498611,-27.59257,620.0,0.19950369,30,0.18083112,0.014000000000000002,3100.0,0.81678283
0.11499999999999999,0.35044855,-27.850437,640.0,0.1997321,31,0.18169013,0.012,3200.0,0.81986964
0.075,0.35078138,-31.809088,660.0,0.19984718,32,0.18242152,0.007000000000000001,3300.0,0.8230709
0.135,0.35102242,-27.531015,680.0,0.20001478,33,0.18308978,0.016999999999999998,3400.0,0.82581824
0.10999999999999999,0.35119024,-29.43277,700.0,0.20007268,34,0.18357258,0.01,3500.0,0.8282631
0.185,0.3515694,-29.300014,720.0,0.20032588,35,0.1839886,0.01,3600.0,0.8306011
0.15,0.3518505,-30.765127,740.0,0.20040993,36,0.18434298,0.021,3700.0,0.83264714
0.11000000000000001,0.35214227,-36.058823,760.0,0.2005486,37,0.18462357,0.008,3800.0,0.8348366
0.08,0.3524417,-32.101837,780.0,0.20060496,38,0.18501584,0.012,3900.0,0.83712417
0.205,0.3526856,-30.57456,800.0,0.20073672,39,0.1852276,0.005,4000.0,0.83897436
0.21500000000000002,0.35291225,-29.431696,820.0,0.2008334,40,0.1854929,0.009,4100.0,0.84069806
0.205,0.35319287,-29.45371,840.0,0.20097713,41,0.18562202,0.004,4200.0,0.84241885
0.15999999999999998,0.35360545,-31.95636,860.0,0.20105453,42,0.18585882,0.013000000000000001,4300.0,0.8440321
0.12500000000000003,0.35387293,-32.592365,880.0,0.2010705,43,0.18607971,0.01,4400.0,0.8455418
0.13999999999999999,0.35416633,-30.496967,900.0,0.20103419,44,0.186299,0.006,4500.0,0.8471715
0.13,0.35446614,-33.975487,920.0,0.20102437,45,0.18642974,0.009999999999999998,4600.0,0.84847355
0.135,0.35471287,-32.09604,940.0,0.20093474,46,0.18649037,0.014000000000000002,4700.0,0.84969795
0.2,0.35488883,-32.46808,960.0,0.2009923,47,0.18657811,0.015999999999999997,4800.0,0.8510019
0.12,0.35518247,-31.2763,980.0,0.20107546,48,0.18682845,0.011,4900.0,0.852668
0.13999999999999999,0.3554902,-31.333563,1000.0,0.20114908,49,0.18699864,0.013000000000000001,5000.0,0.8542733
