stats_o/mean,train/success_rate,train/episode,test/episode,stats_g/std,stats_g/mean,stats_o/std,epoch,test/mean_Q,test/success_rate
0.31632054,0.0,100.0,20.0,0.019273039,0.67421025,0.70160234,0,-2.779821,0.0
0.30499753,0.0,200.0,40.0,0.018492403,0.67376995,0.73424864,1,-1.9715096,0.0
0.3006824,0.0,300.0,60.0,0.018512705,0.6735475,0.7804412,2,-2.4866033,0.0
0.3004842,0.0,400.0,80.0,0.01846287,0.6735023,0.79937303,3,-1.8562282,0.0
0.30080998,0.0,500.0,100.0,0.018413475,0.6734491,0.8150441,4,-2.298104,0.0
0.30008674,0.0,600.0,120.0,0.018425496,0.673596,0.82371086,5,-2.3167734,0.0
0.30023208,0.0,700.0,140.0,0.018746875,0.673807,0.82775927,6,-2.330358,0.0
0.30041668,0.0,800.0,160.0,0.018618673,0.67372423,0.82878166,7,-3.0933669,0.1
0.30050308,0.0,900.0,180.0,0.018628184,0.67376405,0.83050406,8,-3.91948,0.05
0.30098146,0.0,1000.0,200.0,0.018713256,0.67392194,0.83286893,9,-3.6719017,0.05
0.30145913,0.0,1100.0,220.0,0.018841803,0.6738656,0.8342573,10,-3.5094619,0.15
0.30216154,0.0,1200.0,240.0,0.018881053,0.6739646,0.8338163,11,-2.3521886,0.15
0.30229405,0.0,1300.0,260.0,0.01876604,0.67396533,0.83502996,12,-3.9496734,0.1
0.30160156,0.0,1400.0,280.0,0.018814038,0.67393523,0.8355399,13,-2.299148,0.1
0.30143887,0.0,1500.0,300.0,0.018887768,0.67401254,0.8370854,14,-5.796462,0.05
0.3012545,0.0,1600.0,320.0,0.018852575,0.6739943,0.83823663,15,-3.9110012,0.15
0.30074564,0.02,1700.0,340.0,0.018823491,0.673931,0.8374718,16,-4.5335383,0.05
0.30086198,0.01,1800.0,360.0,0.01882364,0.6740448,0.836588,17,-5.914521,0.1
0.3007863,0.0,1900.0,380.0,0.018829996,0.6742135,0.8358522,18,-7.5211854,0.15
0.30068386,0.0,2000.0,400.0,0.018812768,0.6743461,0.83539027,19,-5.5690584,0.05
0.30060682,0.01,2100.0,420.0,0.018972268,0.6745439,0.83460855,20,-5.7462983,0.2
0.3006621,0.0,2200.0,440.0,0.019015336,0.67448723,0.8349881,21,-4.468047,0.1
0.3003081,0.0,2300.0,460.0,0.01907654,0.6744173,0.83473575,22,-7.1306868,0.15
0.30022764,0.01,2400.0,480.0,0.0190542,0.67445195,0.8351884,23,-9.788229,0.05
0.30032507,0.0,2500.0,500.0,0.019014604,0.6744891,0.83532965,24,-4.2095966,0.05
0.30034676,0.0,2600.0,520.0,0.018989474,0.67444843,0.83527577,25,-8.465732,0.1
0.30051768,0.01,2700.0,540.0,0.018998256,0.6745293,0.834771,26,-6.691375,0.25
0.30058542,0.0,2800.0,560.0,0.019020965,0.674572,0.8351271,27,-6.9546065,0.1
0.30108294,0.0,2900.0,580.0,0.019044854,0.6746376,0.83468664,28,-8.878888,0.05
0.3015514,0.01,3000.0,600.0,0.01906923,0.67469144,0.8343096,29,-6.3959947,0.15
0.30158782,0.0,3100.0,620.0,0.019067312,0.6746796,0.8336302,30,-10.416044,0.1
0.3016231,0.02,3200.0,640.0,0.019024437,0.6745787,0.8329055,31,-5.5415,0.15
0.30157158,0.01,3300.0,660.0,0.019119723,0.67463934,0.8325491,32,-11.630143,0.15
0.30210975,0.0,3400.0,680.0,0.019287338,0.6748212,0.83201367,33,-10.183915,0.1
0.30223766,0.01,3500.0,700.0,0.019254856,0.67477596,0.8316162,34,-12.420596,0.1
0.30237806,0.0,3600.0,720.0,0.019230949,0.67472637,0.8312915,35,-8.375181,0.25
0.30247152,0.01,3700.0,740.0,0.01920495,0.67466027,0.83132964,36,-9.761404,0.15
0.30244294,0.01,3800.0,760.0,0.019145032,0.6746218,0.83090866,37,-14.745936,0.2
0.3023759,0.02,3900.0,780.0,0.019081162,0.67457634,0.83072,38,-11.370325,0.1
0.30224892,0.0,4000.0,800.0,0.019025503,0.67453134,0.83023393,39,-13.709696,0.1
0.30218732,0.0,4100.0,820.0,0.01897699,0.6745188,0.8301032,40,-7.964802,0.3
0.3021368,0.01,4200.0,840.0,0.018995902,0.6744873,0.83034056,41,-10.85475,0.0
0.30200365,0.0,4300.0,860.0,0.01903826,0.67443764,0.8305936,42,-5.7284303,0.05
0.30188894,0.0,4400.0,880.0,0.018991698,0.67443573,0.83059204,43,-15.206884,0.0
0.30187792,0.0,4500.0,900.0,0.018978255,0.67440003,0.83043575,44,-5.8251233,0.1
0.30183518,0.0,4600.0,920.0,0.01893979,0.674361,0.83012193,45,-10.158305,0.0
0.30178446,0.01,4700.0,940.0,0.018904064,0.6743361,0.82950944,46,-11.775839,0.2
0.30152306,0.0,4800.0,960.0,0.01894163,0.6742941,0.82905704,47,-12.73065,0.3
0.30127835,0.0,4900.0,980.0,0.019009974,0.67429143,0.82849395,48,-9.61944,0.2
0.30104148,0.0,5000.0,1000.0,0.019032964,0.67429066,0.8277811,49,-9.723354,0.05
