test/success_rate,train/episode,stats_o/mean,stats_o/std,stats_g/mean,test/mean_Q,train/success_rate,epoch,test/episode,stats_g/std
1.0,100.0,0.26087052,0.034696933,0.8679002,-0.25607607,0.68,0,20.0,0.10157045
1.0,200.0,0.26143453,0.033260066,0.8706326,-0.09993915,0.83,1,40.0,0.094193906
1.0,300.0,0.26223814,0.032833375,0.8736083,-0.09456693,0.83,2,60.0,0.09191582
1.0,400.0,0.2623884,0.032735225,0.8742042,-0.082243994,0.87,3,80.0,0.09081914
1.0,500.0,0.2627985,0.03263197,0.875622,-0.02727496,0.84,4,100.0,0.090159275
1.0,600.0,0.26268095,0.03241408,0.87524563,-0.045611467,0.85,5,120.0,0.089227
1.0,700.0,0.26277754,0.0323655,0.8756359,-0.049941648,0.88,6,140.0,0.08896041
1.0,800.0,0.26260898,0.03224386,0.87512773,-0.059545003,0.8,7,160.0,0.08852456
1.0,900.0,0.26274648,0.032132175,0.8757244,-0.047765713,0.86,8,180.0,0.08810756
1.0,1000.0,0.26311153,0.032116067,0.8769863,-0.07963977,0.79,9,200.0,0.08796847
1.0,1100.0,0.2629865,0.031982377,0.87654525,-0.067889,0.8,10,220.0,0.08747464
1.0,1200.0,0.26302963,0.031877637,0.87674373,-0.035360985,0.85,11,240.0,0.087085724
1.0,1300.0,0.26317447,0.03185613,0.87722063,-0.051443152,0.79,12,260.0,0.08696342
1.0,1400.0,0.26298484,0.03175483,0.8765684,-0.062241323,0.82,13,280.0,0.08665123
1.0,1500.0,0.2629968,0.03174878,0.8766198,-0.047585495,0.84,14,300.0,0.08667601
1.0,1600.0,0.26312086,0.031744253,0.87700105,-0.058756076,0.84,15,320.0,0.08662081
1.0,1700.0,0.2629198,0.0316889,0.87631655,-0.067427345,0.75,16,340.0,0.0864146
1.0,1800.0,0.26290023,0.031725902,0.8762199,-0.05696885,0.83,17,360.0,0.086577974
1.0,1900.0,0.26285735,0.031708598,0.87605304,-0.08648245,0.81,18,380.0,0.08653068
1.0,2000.0,0.26286352,0.03172595,0.8760896,-0.084366195,0.81,19,400.0,0.08659973
1.0,2100.0,0.2629042,0.03167566,0.87619525,-0.07483061,0.77,20,420.0,0.08641365
1.0,2200.0,0.2628438,0.03162519,0.8760064,-0.11257911,0.73,21,440.0,0.08620476
1.0,2300.0,0.26281673,0.031570245,0.8759009,-0.07199346,0.79,22,460.0,0.0859829
1.0,2400.0,0.26279074,0.0315711,0.87579274,-0.06384675,0.78,23,480.0,0.08596251
1.0,2500.0,0.2628367,0.03155742,0.8759422,-0.053012453,0.73,24,500.0,0.08590873
1.0,2600.0,0.26276493,0.03152368,0.8757231,-0.06513713,0.74,25,520.0,0.085758924
1.0,2700.0,0.26275745,0.031526245,0.8757036,-0.0748193,0.78,26,540.0,0.085740454
1.0,2800.0,0.26275507,0.031520758,0.87567514,-0.047311746,0.84,27,560.0,0.085701495
1.0,2900.0,0.26271197,0.031538885,0.87551326,-0.062835276,0.82,28,580.0,0.08577799
1.0,3000.0,0.2627189,0.03154154,0.87555784,-0.076284125,0.81,29,600.0,0.085772
1.0,3100.0,0.26276118,0.031555638,0.87569827,-0.038597293,0.71,30,620.0,0.085815646
1.0,3200.0,0.26278275,0.03159033,0.87577146,-0.075006604,0.84,31,640.0,0.08595562
1.0,3300.0,0.26282382,0.03158238,0.8759386,-0.056109488,0.79,32,660.0,0.08593633
1.0,3400.0,0.26283807,0.03156752,0.8760001,-0.078634456,0.75,33,680.0,0.08591157
1.0,3500.0,0.262822,0.03159222,0.8759482,-0.082856245,0.74,34,700.0,0.085995376
1.0,3600.0,0.26289386,0.031619042,0.87618804,-0.07050923,0.83,35,720.0,0.08607707
1.0,3700.0,0.26287976,0.0316113,0.8761465,-0.032761164,0.8,36,740.0,0.08603602
1.0,3800.0,0.26289615,0.031600736,0.8761949,-0.063667074,0.82,37,760.0,0.086000025
1.0,3900.0,0.2628531,0.03157442,0.8760455,-0.07754032,0.83,38,780.0,0.08591994
1.0,4000.0,0.26281667,0.031572245,0.875918,-0.040247045,0.74,39,800.0,0.085924886
1.0,4100.0,0.2628091,0.031572167,0.8758957,-0.07102541,0.83,40,820.0,0.08591167
1.0,4200.0,0.2628326,0.031562008,0.87598103,-0.06039272,0.83,41,840.0,0.08588284
1.0,4300.0,0.26286024,0.031564634,0.87607056,-0.053293176,0.79,42,860.0,0.08592945
1.0,4400.0,0.2628619,0.031552028,0.87607074,-0.06417774,0.76,43,880.0,0.085903496
1.0,4500.0,0.26279902,0.03157463,0.87583923,-0.046868514,0.79,44,900.0,0.0859933
1.0,4600.0,0.2628006,0.03155209,0.8758385,-0.061615504,0.84,45,920.0,0.0859054
1.0,4700.0,0.26275086,0.031549968,0.8756667,-0.08024837,0.88,46,940.0,0.085893124
1.0,4800.0,0.26271975,0.031544525,0.87555677,-0.07494993,0.85,47,960.0,0.0858789
1.0,4900.0,0.26270717,0.03153298,0.87551814,-0.0749431,0.77,48,980.0,0.08584788
1.0,5000.0,0.26269874,0.031539813,0.87547237,-0.05491336,0.84,49,1000.0,0.08587427
